Conversation Incomplete,input,output
6731c8456b52bb84569ab7b0,"Below is the conversation between the bot and user

user: https://youtu.be/D4IQCczCu2g?si=gIKVtR4YIakkMSCN
bot: Hi, I am Vaidushi and how can I help you today regarding your interest to buy Madhavprash?

",To Buy the Product
6731c561f280c8f9d8589204,"Below is the conversation between the bot and user

user: Tmre clinic palnpur ma che
bot: Here is a list of 3 nearest clinics to your location

Clinic Name: Pramukh Hospital Palanpur (Gujarat)
Address: 4/B, Ambica Society, Kailash mandir road, Becharpura, Behind new ST depot -Palanpur Banaskantha Gujarat -385001

Do you like to book an appointment in one of the clinics mentioned above?

user: Yes
bot: Current location, city name, or postal code is required to book an appointment, please provide your location details so I can assist you further

user: Riyajkhan rasulkhan pathan
bot: It seems that your message does not include information about your location. Could you please provide your current city name or postal code? This will help me assist you better in booking an appointment.

user: Visngar
bot: I am not able to find a closest clinic, Please contact customer care @ 0422 4893 3666 to discuss and find the best available clinic for you.

user: My number 8980704863
bot: Thank you for providing your number. How can I assist you with your health query today?

user: No th
bot: I apologize, but I can only assist with health-care, Ayurveda, and massage related questions. If you have any queries related to those topics, feel free to ask.

user: Friday
bot: It seems like you may have a health query or concern. How can I assist you today?

user: U gove number mobile has
bot: I apologize, but I can only assist with health-care, Ayurveda, and massage related questions. If you have any queries related to those topics, feel free to ask.

user: I am dybites
bot: It seems like you are dealing with diabetes. At Madhavbaug, we manage type 1 diabetes by reducing the dosage of your current medication. Our experienced doctors can help you with this. While type 1 diabetes is not reversible, we focus on effective management. We recommend visiting our clinic for a personalized assessment and treatment plan. Would you like to book an appointment for a consultation?

user: Ok u give mobile number
bot: Current location, city name, or postal code is required to book an appointment, please provide your location details so I can assist you further

user: Visngar my name riyajkhan rasulkhan pathan 384315
bot: I am not able to find a closest clinic, Please contact customer care @ 0422 4893 3666 to discuss and find the best available clinic for you.

",Appointment Booking
6731c3d3f280c8f9d8589201,"Below is the conversation between the bot and user

user: Hi
bot: Hi, I am Vaidushi and how can I help you today regarding your interest to buy Madhavprash?


user: I have already two stents. Can i take
bot: Yes, a person with two stents can take Madhavprash. It is suggested for individuals with heart conditions to incorporate Madhavprash into their daily routine, as it may offer additional health benefits. However, it's always best to consult with a healthcare provider before adding any new supplement to your regimen.

user: Then who will guide me.. whether i can take or not
bot: Hello, Thank you for your interest. You can reach us at +918433985879. Alternatively you can visit our online store here

https://cep.prodoc.ai/appointment/666d81d0a8596bfe7e8a6178/9818032523/Ashok_Kumar_NHPC

bot: You can book an appointment with our healthcare professional who can guide you on whether you can take Madhavprash. An appointment creation link has been sent. Kindly use the link to make an appointment.

","Product Enquiry, To buy the Product"
6731b60628cfc7233aa8e14e,"Below is the conversation between the bot and user

user: Where is order
bot: Hi, I am Vaidushi and how can I help you today regarding your interest to buy Madhavprash?


user: Order update please
bot: I'm sorry, but I can't provide real-time order updates. Please check with the retailer or platform where you made the purchase for the latest information on your order. If you have any other questions about Madhavprash, feel free to ask!

",Order Enquiry
6731b53328cfc7233aa8e14c,"Below is the conversation between the bot and user

user: hi
bot: Hello! I am Aisha, a Health-Care Executive at Madhavbaug. Do you have any symptoms or health issues that you would like to discuss?

user: lipoma treatment
bot: Madhavbaug specializes in Ayurvedic treatments and our approach generally involves personalized treatment plans that may include traditional therapies, dietary changes, and lifestyle adjustments. We recommend visiting our nearest clinic for a consultation with our expert doctors who can assess your condition and suggest an appropriate treatment plan tailored to your needs.

user: please share details for lipoma treatment
bot: Madhavbaug specializes in Ayurvedic treatments and our approach generally involves personalized treatment plans that may include traditional therapies, dietary changes, and lifestyle adjustments. We recommend visiting our nearest clinic for a consultation with our expert doctors who can assess your condition and suggest an appropriate treatment plan tailored to your needs. If you would like to book an appointment, please let me know.

user: where is nearest branch for lipoma treatment
bot: Current location, city name, or postal code is required to book an appointment, please provide your location details so I can assist you further

user: Virar West, 401301
bot: Oh great! We have found 19 expert doctors in your area. Could you please let us know your exact location in Virar West, 401301?

user: Satpala, virar west
bot: Clinic list Sent

user: Swati Dwivedi
bot: Clinic list Sent

","Doctor Enquiry, Surgery Enquiry, Location Enquiry"
6731b28d6b52bb84569ab778,"Below is the conversation between the bot and user

user: Hey
bot: Hello! Welcome to Unnathi Healing Foundation. How can I assist you today with your holistic well-being journey?

user: Book an appointment
bot: Simply click on the link below to access our appointment booking system.

https://cep.prodoc.ai/appointment/670628e07ee8cfb69fb65520/8951374888/Muskan;)

bot: An appointment creation link has been sent to you. Kindly use the link to book your appointment with Unnathi Healing Foundation.

user: Who are the doctors
bot: At Unnathi Healing Foundation, we have a diverse team of doctors specializing in various fields to support your holistic well-being:

1. Dr. Anilkumar T - General Medicine
2. Dr. MG Kartheeka - Paediatrics
3. Dr. Nisarg Aravindan - Community and Family Medicine, Mental Health
4. Dr. Bharathi A - Obstetrics & Gynaecology
5. Dr. Sharath Kote GS - Medical Hepatology and Nutrition
6. Dr. Saraswathi - Healer

Feel free to reach out if you need more information or wish to book an appointment with any of our specialists.

","Appointment Booking, Doctor Enquiry"
6731b287abffb67d0a3da0e6,"Below is the conversation between the bot and user

user: Share me more details
bot: Hi, I am Vaidushi and how can I help you today regarding your interest to buy Madhavprash? Madhavprash is a product that may help in controlling blood sugar and supporting heart health. The recommended dosage for an adult is 10 grams per day, which is equivalent to one spoon. Each bottle contains 280 grams and is priced at Rs. 525, including GST. Discounts are available for bulk purchases: buying two units gives a 5% discount, costing Rs. 998, and buying four units gives a 10% discount, costing Rs. 1890. How can I assist you further?

user: Is it for Bad Cholesterol?
bot: Yes, Madhavprash is effective for bad cholesterol. It contains a unique blend of ingredients that work synergistically to lower cholesterol levels, which can contribute to improved heart health.

",Product Enquiry
6731b06a28cfc7233aa8e145,"Below is the conversation between the bot and user

user: Hi I need help
bot: Namaskar, I am Ayushi, your Virtual Assistant from United Hospital. How can I assist you today?


user: Can you share the my blood group
bot: Sorry, I'm unable to help you at this moment. Please contact our PRM executive at +917022316664 or +918045666666.

",Hospital Services Enquiry
6731aefd28cfc7233aa8e142,"Below is the conversation between the bot and user

user: Needs correction
bot: We're sorry to hear that the address is incorrect.

Please provide the correct address so we can process your order.

",Location Enquiry
6731ac7794cc2ebf93a47174,"Below is the conversation between the bot and user

user: Need an appointment with dr nisarg
bot: Simply click on the link below to access our appointment booking system.

https://cep.prodoc.ai/appointment/670628e07ee8cfb69fb65520/9030701443/Satya_Praneeth

bot: An appointment creation link has been sent to you. Kindly use the link to book an appointment with Dr. Nisarg. If you need further assistance, feel free to reach out to Unnathi Healing Foundation.

user: Is my appointment booked?
bot: Simply click on the link below to access our appointment booking system.

https://cep.prodoc.ai/appointment/670628e07ee8cfb69fb65520/9030701443/Satya_Praneeth

bot: Your appointment is not yet booked. An appointment creation link has been sent to you. Please use the link to book your appointment with Unnathi Healing Foundation. If you need further assistance, feel free to reach out.

user: It showed that my appointment has been booked after filling the form
bot: Great! Your appointment has been successfully booked. If you have any further questions or need assistance, feel free to reach out to Unnathi Healing Foundation.

user: Can i get the acknowledgment of appoi booking
bot: For an acknowledgment of your appointment booking, please check your email or messages for a confirmation from Unnathi Healing Foundation. If you haven't received it, feel free to contact us directly for assistance.

",Appointment Booking
6731a09e6ba2c2dce053fa73,"Below is the conversation between the bot and user

user: Hiiii mala sugar reversal prakriya samjun ghychi
bot: तुमची सध्याची रक्तातील साखरेची पातळी आणि तुमच्या लक्षात आलेल्या कोणत्याही अलीकडील बदलांचे तुम्ही वर्णन करू शकता का?

user: मला दोन दिवसांपूर्वीच कळले मी सहज ब्लड चेक केलं फास्टिंगची 330 दाखवत
bot: तुमची उपवास रक्तातील साखरेची पातळी 330 होती याबद्दल आहे. तुम्हाला उच्च रक्तातील साखरेशी संबंधित इतर लक्षणे आढळली आहेत, जसे की तहान वाढणे किंवा वारंवार लघवी होणे?

user: नाही
bot: मला तुमच्या समस्येबद्दल माहिती देण्यात मदत करण्यासाठी तयार आहे. कृपया जर तुम्हाला डॉक्टरांच्या सोबत भेट घ्यायची असेल तर तुम्हाला अपॉइंटमेंट बुक करायची आहे का?

user: सध्या मला माहिती हवी आहे आणि किती खर्च होईल वगैरे
bot: माधवबाग येथील उपचार आणि सेवांच्या खर्चाच्या माहितीसाठी, आपल्या जवळच्या क्लिनिकशी थेट संपर्क साधणे चांगले. तुमच्या विशिष्ट गरजा आणि उपचार योजनेच्या आधारे क्लिनिकचे कर्मचारी तपशीलवार माहिती देऊ शकतात. माधवबाग क्लिनिक आणि हॉस्पिटल लोकेटर वापरून तुम्ही तुमच्या जवळच्या क्लिनिकसाठी संपर्क तपशील येथे शोधू शकता: https://madhavbaug.org/clinic-hospital-locator/. याव्यतिरिक्त, क्लिनिकच्या डॉक्टरांशी आपल्या उपचार योजनेची चर्चा केल्याने कोणत्याही संभाव्य सवलती किंवा उपलब्ध ऑफरबद्दल अंतर्दृष्टी देखील मिळू शकते.

","Hospital Services Enquiry, Symptom Consultation, Cost Enquiry, Appointment Booking"
67319fc028cfc7233aa8e139,"Below is the conversation between the bot and user

user: hi
bot: Hello! Welcome to Smiles Hospitals. How can I assist you today?

user: i am having pain
bot: For pain in the anal region or abdominal pain, you can consult one of our coloproctologists. Here are some doctors you can consider:

1. Dr. Muskan - Available in Bangalore North and Bangalore Central.
2. Dr. Pavithra - Available at the HSR Branch, Mathikere.
3. Dr. Vijay - Available at the HSR Branch, Mathikere.
4. Dr. Yashoda - Available at the HSR Branch, Mathikere.
5. Dr. Parameshwara CM - Available at the HSR Branch, Mathikere.
6. Dr. Sushmitha - Available at the HSR Branch, Mathikere.
7. Dr. Bhavan Shetty - Available at the HSR Branch, Mathikere.

If you need an immediate appointment due to pain or emergency, please call us at +91 8081998800.

user: hi
bot: Hello! Welcome back to Smiles Hospitals. How can I assist you today?

user: bleeding
bot: For bleeding in the anal region, you can consult one of our coloproctologists. Here are some doctors you can consider:

1. Dr. Vijay - HSR Branch, Mathikere
2. Dr. Bhavan Shetty - HSR Branch, Mathikere
3. Dr. Parameshwara CM - HSR Branch, Mathikere
4. Dr. Yashoda - HSR Branch, Mathikere
5. Dr. Pavithra - HSR Branch, Mathikere
6. Dr. Muskan - Bangalore North, Bangalore Central
7. Dr. Christina - HSR Branch, Mathikere

If you need an immediate appointment due to pain or emergency, please call us at +91 8081998800.

user: hi
bot: Hello! Welcome back to Smiles Hospitals. How can I assist you today?

user: pain
bot: Your query has been recorded and will be forwarded to the doctor. If you have any medical reports, further questions, symptoms, or additional information you'd like to share, please feel free to do so.

Once you've shared everything, simply respond with 'done' or 'completed' to indicate you're finished.

user: hi
bot: Hello again! How can I assist you today? If you're experiencing any symptoms or have health-related concerns, feel free to share them with me.

user: pain
bot: I will ask follow-up questions to gather more information about the pain. 

Can you please tell me more about the pain you are experiencing?

user: pain in anal region
bot: Thank you for providing more details. Could you please let me know how long you have been experiencing this pain in the anal region?

user: from 2 days
bot: Thank you for the information. Could you also let me know if you have noticed any other symptoms, such as bleeding, itching, or swelling in the anal region?


user: bleeding
bot: Thank you for sharing that information. To better understand your condition, could you please let me know if the bleeding is continuous or if it occurs only during certain activities, such as bowel movements?

user: sometimes
bot: Thank you for sharing that information. Do you have any known medication allergies that we should be aware of?

user: no
bot: Thank you for confirming. Here's a summary of your case:

The patient is experiencing pain in the anal region for the past two days, accompanied by occasional bleeding, particularly during certain activities like bowel movements. The patient has no known medication allergies.

Please confirm if this summary is accurate.

user: yes
bot: Couldn't register the patient. Please try again later.

user: what
bot: Your previous consultation has been completed. You can consult again once the doctor replies to your query. If you need immediate assistance, please call us at +91 8081998800.

",Symptom Consultation
67319fb294cc2ebf93a47167,"Below is the conversation between the bot and user

user: hi
bot: list msg Sent

user: English
bot: list msg Sent

user: Book Appointment 
bot: Could you please specify the health concerns you're experiencing?

user: headache
bot: list msg Sent

user: Less than 10 days 
bot: list msg Sent

user: Yes
bot: When do you want to book an appointment, Kindly specify the date and time (example 31/10/2024 3pm)

user: tomorrow 3 pm
bot: 12-11-24, 03:00 pm

Your appointment has been confirmed. We look forward to seeing you! If you need to reschedule or have any questions, feel free to reach out to us.🙏🏽🙂

bot: hi

",Appointment Booking
67319cec28cfc7233aa8e136,"Below is the conversation between the bot and user

user: My son having panis problem
bot: Dr. Parameshwara CM is highly recommended for circumcision and related penile issues. He has successfully operated on over 1862 cases. Our centers are located in Mathikere and HSR Layout. If you wish to book an appointment, please contact +91 8010540540. Additionally, here are some testimonial videos related to circumcision for your reference:

- [ZSR Stapler Circumcision In Bangalore | Best Laser Circumcision | Top Rated Hospital](https://youtu.be/05lQm_kyJWQ)
- [Rajesh Got Cured From Tight Foreskin | Advance ZSR Stapler In Bangalore | Day Care Treatment](https://youtu.be/ZEMZ4fag_0c)

",Surgery Enquiry
67319b9dabffb67d0a3da0d1,"Below is the conversation between the bot and user

user: Reset
bot: list msg Sent

user: Book Appointment📅
bot: list msg Sent

user: Orthopedic🦴
bot: list msg Sent

user: S B Road
bot: list msg Sent

user: Yes
bot: Appointment with: Orthopedic S B Road


Thank you! Our team will contact you shortly.

bot: list msg Sent

user: Yes
bot: list msg Sent

user: Book Appointment📅
bot: list msg Sent

user: General Surgery🏥
bot: list msg Sent

user: S B Road
bot: list msg Sent

user: Yes
bot: Appointment with: General Surgery S B Road


Thank you! Our team will contact you shortly.

bot: list msg Sent

user: Yes
bot: list msg Sent

user: Book Appointment📅
bot: list msg Sent

user: Orthopedic🦴
bot: list msg Sent

user: S B Road
bot: list msg Sent

user: Yes
bot: Appointment with: Orthopedic S B Road


Thank you! Our team will contact you shortly.

bot: list msg Sent

user: Yes
bot: list msg Sent

user: Rest
bot: Kindly choose from the above message

user: No
user: Reset
bot: list msg Sent

user: Hello
bot: Kindly choose from the above message

user: Neuroscience🧠
bot: list msg Sent

user: S B Road
bot: list msg Sent

user: Yes
bot: Appointment with: Neuroscience S B Road


Thank you! Our team will contact you shortly.

bot: list msg Sent

user: No
bot: list msg Sent

user: Hello
bot: Kindly choose from the above message

user: Yes
bot: list msg Sent

user: Hello
bot: Kindly choose from the above message

user: Hello
bot: Kindly choose from the above message

user: Book Appointment📅
bot: list msg Sent

",Appointment Booking
673199466b52bb84569ab769,"Below is the conversation between the bot and user

user: Madam , send 1 madhavprash in new pack on Chatrapati sambhaji nagar address
bot: पत्ता शेअर केल्याबद्दल धन्यवाद.


",Product Enquiry
67319509f280c8f9d85891b9,"Below is the conversation between the bot and user

user: Hi
bot: Hello! I am Aisha, a Health-Care Executive at Madhavbaug. Do you have any symptoms or health issues that you would like to discuss?

user: Palptation
bot: When did you first notice the palpitations, and how frequently do they occur?

user: Some time
bot: When did you first start experiencing palpitations, and how often do they occur?

user: 6 months
bot: We recommend visiting our clinic for an ayurvedic panchakarma treatment for palpitations, which includes lifestyle modification and panchakarma specifically designed for heart-related issues. It is important not to ignore these symptoms. Would you like to book an appointment for a consultation?

",Symptom Consultation
673194735097a124813c3f6b,"Below is the conversation between the bot and user

user: Hyperthyroidism ka ilaj ho jayega kya sir or kitna khrcha aayega
bot: हाइपरथायरायडिज्म के उपचार के लिए, हम माधवबाग में एक व्यापक दृष्टिकोण प्रदान करते हैं जिसमें जीवनशैली में बदलाव, आहार समायोजन, व्यक्तिगत उपचार योजनाएँ और दवा की मात्रा में धीरे-धीरे कमी शामिल है। उपचार की लागत व्यक्तिगत आवश्यकताओं और उपचार की अवधि के आधार पर भिन्न हो सकती है। यदि आप अधिक जानकारी चाहते हैं या अपॉइंटमेंट बुक करना चाहते हैं, तो कृपया बेझिझक पूछें।

user: Fir bhi minimum kitna khrch aa jayega monthly or kitne time me sahi ho jayege
bot: हाइपरथायरायडिज्म के इलाज की लागत व्यक्तिगत ज़रूरतों और इलाज की अवधि के आधार पर अलग-अलग हो सकती है। व्यक्तिगत उपचार योजना और लागत अनुमान के लिए हमारे स्वास्थ्य सेवा पेशेवरों से परामर्श करना सबसे अच्छा है। यदि आप अधिक जानकारी चाहते हैं या अपॉइंटमेंट बुक करना चाहते हैं, तो कृपया बेझिझक पूछें।

user: Kya hyperthyroidism ka permanent ilaj h
bot: Hyperthyroidism ka permanent ilaj Madhavbaug mein possible hai, lekin yeh har vyakti ke case par alag-alag ho sakta hai. Hum personalized treatment plans banate hain jo Ayurvedic upchar, aahar aur lifestyle changes ko shaamil karte hain. Agar aap aur adhik jaankari chahte hain ya appointment book karna chahte hain, toh kripya call karein: +917304501163

","Cost Enquiry, Surgery Enquiry"
67318ece94cc2ebf93a47163,"Below is the conversation between the bot and user

user: Hi
bot: Hi, I am Vaidushi and how can I help you today regarding your interest to buy Madhavprash?


user: Sir 2023 march i have 4 blocks 90℅ Diagnosed through angiogram.. Iam taking tablets regularly .. Also they told me lipopeotien a is higher and risk of heart attack and stroke it's a genetic so the injection are very expensive
bot: Madhavprash can help with heart health by lowering blood sugar and cholesterol levels, which may contribute to reducing blood viscosity and the risk of heart disease. However, it does not specifically mention its effect on lipoprotein levels. If you have further questions or need more personalized advice, would you like to book an appointment with a specialist?

",Product Enquiry
67318e3f6b52bb84569ab763,"Below is the conversation between the bot and user

user: Want to order medicine
bot: I'm sorry, I can only assist with health-care, Ayurveda, and massage related questions. If you have any health concerns or symptoms, feel free to share them with me.

user: I want to order diapram and madhav prash
bot: मला माफ करा, मी फक्त आरोग्य-सेवा, आयुर्वेद आणि मसाज संबंधित प्रश्नांसाठी मदत करू शकतो. तुम्हाला काही आरोग्यविषयक चिंता किंवा लक्षणे असल्यास, ते माझ्यासोबत शेअर करण्यास मोकळ्या मनाने.

user: How to order
bot: To order from Madhavbaug, you can visit their website at www.madhavbaug.org to explore and purchase medicines. Additionally, you can contact your nearest clinic for assistance or schedule an appointment.

","Order Enquiry, To buy the Product"
673185486c94ae23cf526652,"Below is the conversation between the bot and user

user: Hi
bot: Hello! How can I assist you today? If you have any health-related queries or need information about our services, feel free to ask.


user: I need an appointment
bot: Hi, Thanks for reaching out! For immediate help, call +91 95383 11144 or click the link below to book an appointment

https://play.google.com/store/apps/details?id=com.fortis.myFortis&pcampaignid=web_share

bot: I have sent you the appointment creation link. Kindly use the link to make an appointment. If you need further assistance, feel free to ask!

",Appointment Booking
673184796ba2c2dce053fa69,"Below is the conversation between the bot and user

user: Good morning sir
bot: Good morning! How can I assist you today? Do you have any symptoms or health issues?

user: My father is a dibiateic patient from 8-9 years
bot: When was your father diagnosed with diabetes, and what type does he have (Type 1 or Type 2)?

user: Not shure
bot: It's important to know when your father was diagnosed with diabetes and what type he has (Type 1 or Type 2). Have there been any changes in his diet or exercise routine since the diagnosis?

user: Which City your hospital
bot: We have over 350 clinics across India. May I know where you are located so that I can find the nearest clinic for you?

user: I am from Jhalawar district
user: Rajasthan
bot: दिए गए स्थान पर कोई क्लिनिक नहीं मिला, क्या आप कृपया अपने वर्तमान शहर का नाम बता सकते हैं?

bot: No clinics found in the given location, could you please provide your current city name ?

user: Tehsil pirawa district Jhalawar Rajasthan
bot: दिए गए स्थान पर कोई क्लिनिक नहीं मिला, क्या आप कृपया अपने वर्तमान शहर का नाम बता सकते हैं?

user: Kota rajasthan
bot: दिए गए स्थान पर कोई क्लिनिक नहीं मिला, क्या आप कृपया अपने वर्तमान शहर का नाम बता सकते हैं?

user: Agar malva mp
bot: We have over 350 clinics across India. May I know where you are located so that I can find the nearest clinic for you?

user: Jhalawar
bot: No clinics found in the given location, could you please provide your current city name ?

user: Ujjain
bot: Here is a list of 3 nearest clinics to your location

Clinic Name: Free Ganj,ujjain--FR
Address: GEETA 531 SETHI NAGAR UJJAIN 456010

Do you like to book an appointment in one of the clinics mentioned above?

user: Sir hum Jhalawar district Rajasthan me rhte h
user: But ujjain bi paas h
bot: Clinic list Sent

user: priyankasharma 
bot: Clinic list Sent

","Symptom Consultation, Appointment Booking"
6731721c94cc2ebf93a47154,"Below is the conversation between the bot and user

user: Can i get today DR. Ramesh appointment in Fortis Rajajinagar ?
bot: Hi, Thanks for reaching out! For immediate help, call +91 95383 11144 or click the link below to book an appointment

https://play.google.com/store/apps/details?id=com.fortis.myFortis&pcampaignid=web_share

bot: Appointment Creation Link has been sent. Kindly use the link to make an appointment with Dr. Ramesh at Fortis Rajajinagar.

",Appointment Booking
67316bf26c94ae23cf526645,"Below is the conversation between the bot and user

user: Send all products and the price discount
bot: At Madhavbaug, the availability and extent of any additional discounts for patients enrolled in a treatment plan are determined at the discretion of the clinic doctor. Each patient’s treatment plan is unique, and the doctor may offer discounts based on specific criteria, such as the type of treatment, the scope of the plan, and the duration of care required. We recommend discussing potential discounts directly with your Madhavbaug clinic doctor during your consultation. They will provide detailed information regarding any available discounts and how they might apply to your treatment plan. If you have any further questions or need assistance, please contact our support team at +91 7400468145, available from Monday to Saturday, 10 AM to 7 PM.

","Product Enquiry, Cost Enquiry"
67316b417eeb3fac1031f46a,"Below is the conversation between the bot and user

user: Rate
bot: Hi, I am Vaidushi and how can I help you today regarding your interest to buy Madhavprash? The rate for one bottle of Madhavprash is Rs. 525/- (including GST). If you purchase 2 units, you get a 5% discount and pay Rs. 998/-. For 4 units, there is a 10% discount, and you pay Rs. 1890/-.

",Cost Enquiry
67316b237eeb3fac1031f468,"Below is the conversation between the bot and user

user: Hi
bot: Hi, I am Vaidushi and how can I help you today regarding your interest to buy Madhavprash?


user: Please let me know about Madhabprash
bot: Madhavprash is a product designed to help control blood sugar and support heart health. The recommended dosage for adults is 10 grams per day, equivalent to one spoon. It is not available in local Ayurvedic stores but can be purchased online. A bottle contains 280 grams and is priced at Rs. 525, including GST. Discounts are available for bulk purchases: a 5% discount for two units at Rs. 998 and a 10% discount for four units at Rs. 1890. If you're interested in purchasing, here is the link: https://madhavprash.store.

",Product Enquiry
